Restaurant_Name,Total Vote,5,4,3,2,1,Rating
Jalsa,5.0,1.0,3.0,0.0,1.0,0.0,3.8
Spice Elephant,12.0,1.0,6.0,4.0,1.0,0.0,3.58
San Churro Cafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addhuri Udupi Bhojana,3.0,1.0,1.0,1.0,0.0,0.0,4.0
Grand Village,7.0,0.0,4.0,2.0,1.0,0.0,3.43
Timepass Dinner,2.0,0.0,1.0,0.0,1.0,0.0,3.0
Rosewood International Hotel - Bar & Restaurant,2.0,0.0,2.0,0.0,0.0,0.0,4.0
Onesta,5.0,0.0,3.0,0.0,2.0,0.0,3.2
Penthouse Cafe,3.0,0.0,3.0,0.0,0.0,0.0,4.0
Smacznego,3.0,1.0,1.0,1.0,0.0,0.0,4.0
Cafe Shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Coffee Shack,4.0,0.0,4.0,0.0,0.0,0.0,4.0
Caf-Eleven,4.0,0.0,3.0,0.0,1.0,0.0,3.5
San Churro Cafe,4.0,0.0,2.0,2.0,0.0,0.0,3.5
Cafe Vivacity,2.0,0.0,2.0,0.0,0.0,0.0,4.0
Catch-up-ino,1.0,1.0,0.0,0.0,0.0,0.0,5.0
Kirthi's Biryani,5.0,0.0,5.0,0.0,0.0,0.0,4.0
T3H Cafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360 Atoms Restaurant And Cafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Vintage Cafe,2.0,2.0,0.0,0.0,0.0,0.0,5.0
Woodee Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cafe Coffee Day,5.0,0.0,5.0,0.0,0.0,0.0,4.0
My Tea House,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hide Out Cafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAFE NOVA,3.0,1.0,2.0,0.0,0.0,0.0,4.33
Coffee Tindi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea Green Cafe,3.0,2.0,1.0,0.0,0.0,0.0,4.67
Cuppa,5.0,1.0,2.0,0.0,0.0,2.0,3.0
Srinathji's Cafe,1.0,1.0,0.0,0.0,0.0,0.0,5.0
